transitionID,ccode_cow,trans_year_begin,nsupport,sources,p5_year,ert_year,bmr_year,tjet_version
452-1970,452,1970,3,Polity5 (1970) & BMR (1970) & VDem-ERT (1969),1970,1969,1970,2024-04-05
950-1970,950,1970,3,Polity5 (1970) & BMR (1970) & VDem-ERT (1963),1970,1963,1970,2024-04-05
91-1971,91,1971,2,BMR (1971) & VDem-ERT (1971),,1971,1971,2024-04-05
770-1972,770,1972,2,Polity5 (1972) & BMR (1972),1972,,1972,2024-04-05
771-1972,771,1972,2,Polity5 (1972) & VDem-ERT (1972),1972,1972,,2024-04-05
820-1972,820,1972,2,Polity5 (1971) & VDem-ERT (1972),1971,1972,,2024-04-05
160-1973,160,1973,3,Polity5 (1973) & BMR (1973) & VDem-ERT (1972),1973,1972,1973,2024-04-05
800-1973,800,1973,2,Polity5 (1973) & BMR (1975) & VDem-ERT (1973),1973,1973,1975,2024-04-05
235-1974,235,1974,2,Polity5 (1974) & BMR (1976) & VDem-ERT (1970),1974,1970,1976,2024-04-05
350-1974,350,1974,3,Polity5 (1974) & BMR (1974) & VDem-ERT (1974),1974,1974,1974,2024-04-05
352-1974,352,1974,2,Polity5 (1974) & BMR (1977) & VDem-ERT (1970),1974,1970,1977,2024-04-05
910-1975,910,1975,3,Polity5 (1975) & BMR (1975) & VDem-ERT (1970),1975,1970,1975,2024-04-05
230-1976,230,1976,2,Polity5 (1975) & BMR (1977) & VDem-ERT (1976),1975,1976,1977,2024-04-05
42-1978,42,1978,2,Polity5 (1978) & VDem-ERT (1978),1978,1978,,2024-04-05
135-1978,135,1978,2,Polity5 (1978) & BMR (1980) & VDem-ERT (1978),1978,1978,1980,2024-04-05
439-1978,439,1978,2,Polity5 (1977) & VDem-ERT (1978),1977,1978,,2024-04-05
475-1978,475,1978,2,Polity5 (1978) & BMR (1979) & VDem-ERT (1978),1978,1978,1979,2024-04-05
940-1978,940,1978,3,Polity5 (1978) & BMR (1978) & VDem-ERT (1960),1978,1960,1978,2024-04-05
130-1979,130,1979,3,Polity5 (1979) & BMR (1979) & VDem-ERT (1978),1979,1978,1979,2024-04-05
452-1979,452,1979,3,Polity5 (1979) & BMR (1979) & VDem-ERT (1979),1979,1979,1979,2024-04-05
800-1979,800,1979,2,Polity5 (1977) & BMR (1983) & VDem-ERT (1979),1977,1979,1983,2024-04-05
91-1980,91,1980,2,Polity5 (1980) & BMR (1982) & VDem-ERT (1980),1980,1980,1982,2024-04-05
500-1980,500,1980,2,Polity5 (1980) & BMR (1980),1980,,1980,2024-04-05
552-1980,552,1980,2,Polity5 (1980) & VDem-ERT (1979),1980,1979,,2024-04-05
935-1980,935,1980,2,BMR (1980) & VDem-ERT (1970),,1970,1980,2024-04-05
145-1982,145,1982,3,Polity5 (1982) & BMR (1982) & VDem-ERT (1982),1982,1982,1982,2024-04-05
